Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,VoltsIn,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error,Index
01/30/2025,11:51:19,457.93,431796,5,2,6,0,6,0,32,0,4,2,6,3,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431796
01/30/2025,11:51:19,657.93,431797,6,1,6,0,5,1,30,1,4,1,7,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431797
01/30/2025,11:51:19,857.93,431798,5,1,5,1,6,1,30,0,5,1,8,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431798
01/30/2025,11:51:20,57.93,431799,5,1,5,1,7,0,32,0,5,1,6,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431799
01/30/2025,11:51:20,257.93,431800,5,1,7,0,5,1,31,1,4,2,6,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431800
01/30/2025,11:51:20,457.93,431801,6,1,6,0,5,1,30,1,5,1,8,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431801
01/30/2025,11:51:20,657.93,431802,5,1,5,1,6,0,30,0,5,1,7,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431802
01/30/2025,11:51:20,857.93,431803,5,2,5,0,6,0,32,1,4,1,6,3,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431803
01/30/2025,11:51:21,57.93,431804,6,1,7,0,5,1,30,1,4,1,7,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431804
01/30/2025,11:51:21,257.93,431805,6,1,5,1,5,0,29,1,5,1,9,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431805
01/30/2025,11:51:21,457.93,431806,5,1,4,1,7,0,30,0,5,0,7,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431806
01/30/2025,11:51:21,657.93,431807,4,1,6,0,6,1,31,1,4,2,5,3,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431807
